D&C 20th Century	20th Century	Death & Co	Beefeater London Dry Gin  1.5	oz
D&C Sidecar	Sidecar	Death & Co	Simple Syrup	.25	oz
D&C Sidecar	Sidecar	Death & Co	Orange	1	twist
D&C Singapore Sling	Singapore Sling	Death & Co	Beefeater London Dry Gin  1.5	oz
D&C Singapore Sling	Singapore Sling	Death & Co	Cherry Heering Liqueur	.5	oz
D&C Singapore Sling	Singapore Sling	Death & Co	Cointreau Liqueur	.25	oz
D&C Singapore Sling	Singapore Sling	Death & Co	Bénédictine Liqueur	.25	oz
D&C Singapore Sling	Singapore Sling	Death & Co	Pineapple	2	oz
D&C Singapore Sling	Singapore Sling	Death & Co	Lime	.5	oz
D&C Singapore Sling	Singapore Sling	Death & Co	Grenadine	.5	oz
D&C Singapore Sling	Singapore Sling	Death & Co	Angostura Bitters	1	dash
D&C Singapore Sling	Singapore Sling	Death & Co	Brandied Cherry	1	unit
D&C South Side	South Side	Death & Co	Mint	5	leaves
D&C South Side	South Side	Death & Co	Beefeater London Dry Gin	2	oz
D&C South Side	South Side	Death & Co	Lime	.75	oz
D&C South Side	South Side	Death & Co	Simple Syrup	.5	oz
D&C South Side	South Side	Death & Co	Angostura Bitters	1	dash
D&C Stinger	Stinger	Death & Co	Pierre Ferrand 1840 Cognac	2	oz
D&C Stinger	Stinger	Death & Co	Marie Brizard White Crème de Menthe Liqueur	.5	oz
D&C Stinger	Stinger	Death & Co	Simple Syrup	1	tsp
D&C Stinger	Stinger	Death & Co	Mint	1	sprig
D&C Tailspin	Tailspin	Death & Co	Campari Liqueur	1	rinse
D&C Tailspin	Tailspin	Death & Co	Beefeater London Dry Gin	1.5	oz
D&C Tailspin	Tailspin	Death & Co	Carpano Antica Formula Sweet Vermouth	1	oz
D&C Tailspin	Tailspin	Death & Co	Green Chartreuse Liqueur	1	oz
D&C Tailspin	Tailspin	Death & Co	House Orange Bitters	1	dash
D&C Tailspin	Tailspin	Death & Co	Lemon	1	twist
D&C Ti Punch	Ti Punch	Death & Co	Lime	.5	oz
D&C Ti Punch	Ti Punch	Death & Co	Simple Syrup	1	tsp
D&C Ti Punch	Ti Punch	Death & Co	La Favorite Rhum Agricole Blanc	2	oz
D&C Tom Collins	Tom Collins	Death & Co	Beefeater London Dry Gin	2	oz
D&C Tom Collins	Tom Collins	Death & Co	Lemon	1	oz
D&C Tom Collins	Tom Collins	Death & Co	Simple Syrup	.75	oz
D&C Tom Collins	Tom Collins	Death & Co	Club Soda	1	top
D&C Tom Collins	Tom Collins	Death & Co	Cherry	1	unit
D&C Toronto	Toronto	Death & Co	Rittenhouse Bonded Rye Whiskey	2	oz
D&C Toronto	Toronto	Death & Co	Fernet-Branca Liqueur	.5	oz
D&C Toronto	Toronto	Death & Co	Demerara Syrup	1	tsp
D&C Toronto	Toronto	Death & Co	Lemon	1	twist
D&C Vesper	Vesper	Death & Co	Plymouth Gin  1.5	oz
D&C Vesper	Vesper	Death & Co	Charbay Vodka	.75	oz
D&C Vesper	Vesper	Death & Co	Cocchi Americano Aperitif Wine	.5	oz
D&C Vesper	Vesper	Death & Co	Lemon	1	twist
D&C Vieux Carré	Vieux Carré	Death & Co	Rittenhouse Bonded Rye Whiskey	1	oz
D&C Vieux Carré	Vieux Carré	Death & Co	Pierre Ferrand Ambre Cognac	1	oz
D&C Vieux Carré	Vieux Carré	Death & Co	Carpano Antica Formula Sweet Vermouth	1	oz
D&C Vieux Carré	Vieux Carré	Death & Co	Bénédictine Liqueur	1	tsp
D&C Vieux Carré	Vieux Carré	Death & Co	Angostura Bitters	1	dash
D&C Vieux Carré	Vieux Carré	Death & Co	Peychaud’s Bitters	1	dash
D&C Vieux Carré	Vieux Carré	Death & Co	Lemon	1	twist
D&C Ward 8	Ward 8	Death & Co	Old Overholt Rye Whiskey	2	oz
D&C Ward 8	Ward 8	Death & Co	Lemon	.5	oz
D&C Ward 8	Ward 8	Death & Co	Orange	.5	oz
D&C Ward 8	Ward 8	Death & Co	Simple Syrup	.5	oz
D&C Ward 8	Ward 8	Death & Co	Pomegranate Molasses	1	tsp
D&C Whiskey Sour	Whiskey Sour	Death & Co	Buffalo Trace Bourbon Whiskey	2	oz
D&C Whiskey Sour	Whiskey Sour	Death & Co	Lemon	.75	oz
D&C Whiskey Sour	Whiskey Sour	Death & Co	Simple Syrup	.75	oz
D&C Whiskey Sour	Whiskey Sour	Death & Co	Egg	1	white
D&C Whiskey Sour	Whiskey Sour	Death & Co	Angostura Bitters	1	dash
D&C Zombie Punch	Zombie Punch	Death & Co	Appleton Estate V/X Rum	1.5	oz
D&C Zombie Punch	Zombie Punch	Death & Co	Ron del Barrilito 3-star Rum	1.5	oz
D&C Zombie Punch	Zombie Punch	Death & Co	Lemon Hart 151 Rum	1	oz
D&C Zombie Punch	Zombie Punch	Death & Co	Zombie Mix	.75	oz
D&C Zombie Punch	Zombie Punch	Death & Co	Donn’s Spices #2	.5	oz
D&C Zombie Punch	Zombie Punch	Death & Co	Lime	.75	oz
D&C Zombie Punch	Zombie Punch	Death & Co	Angostura Bitters	1	dash
D&C Zombie Punch	Zombie Punch	Death & Co	Mint	1	sprig
D&C Anjou Mama	Anjou Mama	Death & Co	Anjou Pear	3	slices
D&C Anjou Mama	Anjou Mama	Death & Co	Pennyroyal-Infused Hayman’s Old Tom Gin	1	oz
D&C Anjou Mama	Anjou Mama	Death & Co	Tanqueray No. 10 Gin	1	oz
D&C Anjou Mama	Anjou Mama	Death & Co	Lemon	.75	oz
D&C Anjou Mama	Anjou Mama	Death & Co	Orgeat	.25	oz
D&C Anjou Mama	Anjou Mama	Death & Co	Cinnamon Bark Syrup	.25	oz
D&C Anjou Mama	Anjou Mama	Death & Co	Acacia Honey Syrup	.25	oz
SE Aperol Spritz	Aperol Spritz	Speakeasy	Brut Prosecco 4.5	oz
SE Aperol Spritz	Aperol Spritz	Speakeasy	Aperol Liqueur	2.5	oz
SE Aperol Spritz	Aperol Spritz	Speakeasy	Lime	1	wheel
SE Aperol Spritz	Aperol Spritz	Speakeasy	Club Soda	1	oz
SE Campari Spritz	Campari Spritz	Speakeasy	Brut Prosecco 2	oz
SE Campari Spritz	Campari Spritz	Speakeasy	Club Soda	1	oz
SE Campari Spritz	Campari Spritz	Speakeasy	Campari Liqueur	2	oz
SE Campari Spritz	Campari Spritz	Speakeasy	Green Olive	1	unit
SE Elderflower Spritz	Elderflower Spritz	Speakeasy	Perrier-Jouët Grand Brut Champagne	4	oz
SE Elderflower Spritz	Elderflower Spritz	Speakeasy	Club Soda	2	oz
SE Elderflower Spritz	Elderflower Spritz	Speakeasy	Lemon	3	wheel
SE Elderflower Spritz	Elderflower Spritz	Speakeasy	St-Germain Elderflower Liqueur	2	oz
SE Fernando	Fernando	Speakeasy	Fernet-Branca Liqueur	1.25	oz
SE Fernando	Fernando	Speakeasy	Cinzano Bianco Vermouth	1.25	oz
SE Fernando	Fernando	Speakeasy	Galliano L’Autentico Liqueur	.75	oz
SE Fernando	Fernando	Speakeasy	Mint	1	sprig
SE Manhattan Cocktail	Manhattan Cocktail	Speakeasy	Rittenhouse Bonded Rye Whiskey	1.5	oz
SE Manhattan Cocktail	Manhattan Cocktail	Speakeasy	Dolin Rouge Sweet Vermouth	1.75	oz
SE Manhattan Cocktail	Manhattan Cocktail	Speakeasy	Grand Marnier Liqueur	.5	oz
SE Manhattan Cocktail	Manhattan Cocktail	Speakeasy	Angostura Bitters	3	dash
SE Manhattan Cocktail	Manhattan Cocktail	Speakeasy	Lemon	1	twist
SE Contemporary Manhattan	Contemporary Manhattan	Speakeasy	Woodford Reserve Bourbon Whiskey	3	oz
SE Contemporary Manhattan	Contemporary Manhattan	Speakeasy	Dolin Rouge Sweet Vermouth	1.5	oz
SE Contemporary Manhattan	Contemporary Manhattan	Speakeasy	Angostura Bitters	3	dash
SE Contemporary Manhattan	Contemporary Manhattan	Speakeasy	Brandied Cherry	3	unit
SE Martinez	Martinez	Speakeasy	Beefeater 24 Gin	2.5	oz
SE Martinez	Martinez	Speakeasy	Luxardo Maraschino Liqueur	.5	oz
SE Martinez	Martinez	Speakeasy	Dolin Blanc Vermouth	.75	oz
SE Martinez	Martinez	Speakeasy	Absinthe Bitters	.25	oz
SE Martinez	Martinez	Speakeasy	Lemon	1	twist
SE Classic Martinez	Classic Martinez	Speakeasy	Beefeater London Dry Gin	1.75	oz
SE Classic Martinez	Classic Martinez	Speakeasy	Dolin Rouge Sweet Vermouth	2	oz
SE Classic Martinez	Classic Martinez	Speakeasy	Luxardo Maraschino Liqueur	.25	oz
SE Classic Martinez	Classic Martinez	Speakeasy	Regan’s Orange Bitters	1	dash
SE Classic Martinez	Classic Martinez	Speakeasy	Lemon	1	twist
SE Nerina	Nerina	Speakeasy	Plymouth Gin	1.25	oz
SE Nerina	Nerina	Speakeasy	Amaro Meletti Liqueur	1.25	oz
SE Nerina	Nerina	Speakeasy	Punt e Mes Sweet Vermouth	1.25	oz
SE Nerina	Nerina	Speakeasy	Orange	1	twist
SE Negroni	Negroni	Speakeasy	Plymouth Gin	1.25	oz
SE Negroni	Negroni	Speakeasy	Campari Liqueur	1.25	oz
SE Negroni	Negroni	Speakeasy	Cinzano Sweet Vermouth	1.25	oz
SE Negroni	Negroni	Speakeasy	Orange	1	twist
SE Tifozi	Tifozi	Speakeasy	Campari Liqueur	1.5	oz
SE Tifozi	Tifozi	Speakeasy	Punt e Mes Sweet Vermouth	1.5	oz
SE Tifozi	Tifozi	Speakeasy	Lime	3	wheel
SE Tifozi	Tifozi	Speakeasy	San Pellegrino Aranciata	3	oz
SE Americano	Americano	Speakeasy	Campari Liqueur	1.5	oz
SE Americano	Americano	Speakeasy	Dolin Rouge Sweet Vermouth	1.5	oz
SE Americano	Americano	Speakeasy	Orange	1	half-wheel
SE Americano	Americano	Speakeasy	Club Soda	3	oz
SE Pêche Bourbon	Pêche Bourbon	Speakeasy	Massenez Crème de Pêche Liqueur	.5	oz
SE Pêche Bourbon	Pêche Bourbon	Speakeasy	Sugar Cube	1	unit
SE Pêche Bourbon	Pêche Bourbon	Speakeasy	Superfine Sugar	.5	tsp
SE Pêche Bourbon	Pêche Bourbon	Speakeasy	Peychaud’s Bitters	3	dash
SE Pêche Bourbon	Pêche Bourbon	Speakeasy	Fee Brothers Peach Bitters	3	dash
SE Pêche Bourbon	Pêche Bourbon	Speakeasy	Peach-Infused Maker's Mark Bourbon Whiskey	2	oz
SE Pêche Bourbon	Pêche Bourbon	Speakeasy	Mint	1	sprig
SE Sazerac	Sazerac	Speakeasy	Absinthe Bitters	.25	oz
SE Sazerac	Sazerac	Speakeasy	Sugar Cube	1	unit
SE Sazerac	Sazerac	Speakeasy	Superfine Sugar	.5	tsp
SE Sazerac	Sazerac	Speakeasy	Peychaud’s Bitters	3	dash
SE Sazerac	Sazerac	Speakeasy	Angostura Bitters	1	dash
SE Sazerac	Sazerac	Speakeasy	Rittenhouse Bonded Rye Whiskey	2.5	oz
SE Sazerac	Sazerac	Speakeasy	Lemon	1	twist
SE Provençal	Provençal	Speakeasy	Lavender-Infused Plymouth Gin	2	oz
SE Provençal	Provençal	Speakeasy	Vermouth de Provence	1.25	oz
SE Provençal	Provençal	Speakeasy	Cointreau Liqueur	.75	oz
SE Provençal	Provençal	Speakeasy	Orange	1	twist
SE Classic Dry Martini	Classic Dry Martini	Speakeasy	Beefeater London Dry Gin	3.5	oz
SE Classic Dry Martini	Classic Dry Martini	Speakeasy	Dolin Dry Vermouth	.5	oz
SE Classic Dry Martini	Classic Dry Martini	Speakeasy	Regan’s Orange Bitters	1	dash
SE Classic Dry Martini	Classic Dry Martini	Speakeasy	Lemon	1	twist
SE Vesper	Vesper	Speakeasy	Charbay Vodka	2	oz
SE Vesper	Vesper	Speakeasy	Plymouth Navy Strength Gin	1	oz
SE Vesper	Vesper	Speakeasy	Lillet Blanc Aperitif Wine	.75	oz
SE Vesper	Vesper	Speakeasy	Angostura Bitters	1	dash
SE Vesper	Vesper	Speakeasy	Lemon	1	twist
SE Secret Crush	Secret Crush	Speakeasy	Llopart Cava Leopardi Brut Rosé	5	oz
SE Secret Crush	Secret Crush	Speakeasy	Sugar Cube	1	unit
SE Secret Crush	Secret Crush	Speakeasy	Angostura Bitters	4	dash
SE Secret Crush	Secret Crush	Speakeasy	Campari Liqueur	.75	oz
SE Secret Crush	Secret Crush	Speakeasy	Lemon	1	twist
SE Champagne Cocktail	Champagne Cocktail	Speakeasy	Grand Marnier Liqueur	.5	oz
SE Champagne Cocktail	Champagne Cocktail	Speakeasy	Brut Champagne	5	oz
SE Champagne Cocktail	Champagne Cocktail	Speakeasy	Sugar Cube	1	unit
SE Champagne Cocktail	Champagne Cocktail	Speakeasy	Angostura Bitters	4	dash
SE Champagne Cocktail	Champagne Cocktail	Speakeasy	Lemon	1	twist
SE Amelia	Amelia	Speakeasy	Luksusowa Potato Vodka	1.75	oz
SE Amelia	Amelia	Speakeasy	St-Germain Elderflower Liqueur	1	oz
SE Amelia	Amelia	Speakeasy	Blackberry Purée	.75	oz
SE Amelia	Amelia	Speakeasy	Lemon	.75	oz
SE Amelia	Amelia	Speakeasy	Mint	1	sprig
SE Cosmopolitan	Cosmopolitan	Speakeasy	Charbay Meyer Lemon Vodka	1.5	oz
SE Cosmopolitan	Cosmopolitan	Speakeasy	Cointreau Liqueur	1	oz
SE Cosmopolitan	Cosmopolitan	Speakeasy	Lime	.75	oz
SE Cosmopolitan	Cosmopolitan	Speakeasy	Cranberry Juice	1	oz
SE Cosmopolitan	Cosmopolitan	Speakeasy	Orange	1	twist
SE Aviation	Aviation	Speakeasy	Plymouth Gin	1.5	oz
SE Aviation	Aviation	Speakeasy	Lemon	1	oz
SE Aviation	Aviation	Speakeasy	Luxardo Maraschino Liqueur	.75	oz
SE Aviation	Aviation	Speakeasy	Simple Syrup	.25	oz
SE Aviation	Aviation	Speakeasy	Angostura Bitters	1	dash
SE Aviation	Aviation	Speakeasy	Brandied Cherry	1	unit
SE Billionaire Cocktail	Billionaire Cocktail	Speakeasy	Baker's 107-proof Bourbon Whiskey	2	oz
SE Billionaire Cocktail	Billionaire Cocktail	Speakeasy	Lemon	1	oz
SE Billionaire Cocktail	Billionaire Cocktail	Speakeasy	Simple Syrup	.5	oz
SE Billionaire Cocktail	Billionaire Cocktail	Speakeasy	Grenadine	.5	oz
SE Billionaire Cocktail	Billionaire Cocktail	Speakeasy	Absinthe Bitters	.25	oz
SE Millionaire Cocktail	Millionaire Cocktail	Speakeasy	Knob Creek Bourbon Whiskey	2	oz
SE Millionaire Cocktail	Millionaire Cocktail	Speakeasy	Grand Marnier Liqueur	.75	oz
SE Millionaire Cocktail	Millionaire Cocktail	Speakeasy	Egg	1	white
SE Millionaire Cocktail	Millionaire Cocktail	Speakeasy	Grenadine	.5	oz
SE Millionaire Cocktail	Millionaire Cocktail	Speakeasy	Ricard Pastis Liqueur	.25	oz
SE Millionaire Cocktail	Millionaire Cocktail	Speakeasy	Lemon	.5	oz
SE Millionaire Cocktail	Millionaire Cocktail	Speakeasy	Nutmeg	1	grating
SE Fraise Sauvage	Fraise Sauvage	Speakeasy	Plymouth Gin	1.25	oz
SE Fraise Sauvage	Fraise Sauvage	Speakeasy	Lemon	.5	oz
SE Fraise Sauvage	Fraise Sauvage	Speakeasy	Simple Syrup	.25	oz
SE Fraise Sauvage	Fraise Sauvage	Speakeasy	Strawberry	.5	oz
SE Fraise Sauvage	Fraise Sauvage	Speakeasy	Demi-Sec Champagne	2	oz
SE French 75	French 75	Speakeasy	Tanqueray No. 10 Gin	1.25	oz
SE French 75	French 75	Speakeasy	Lemon	.5	oz
SE French 75	French 75	Speakeasy	Simple Syrup	.75	oz
SE French 75	French 75	Speakeasy	Perrier-Jouët Grand Brut Champagne	3	oz
SE French 75	French 75	Speakeasy	Orange	1	half-wheel
SE Roselle	Roselle	Speakeasy	Tanqueray No. 10 Gin	1.5	oz
SE Roselle	Roselle	Speakeasy	Hibiscus Cordial	1	oz
SE Roselle	Roselle	Speakeasy	Lime	.75	oz
SE Roselle	Roselle	Speakeasy	Grapefruit	.5	oz
SE Gimlet	Gimlet	Speakeasy	Plymouth Gin	2	oz
SE Gimlet	Gimlet	Speakeasy	Lime Cordial	.75	oz
SE Gimlet	Gimlet	Speakeasy	Lime	1	wheel
SE Grapefruit Gimlet	Grapefruit Gimlet	Speakeasy	Charbay Ruby Red Grapefruit Vodka	2	oz
SE Grapefruit Gimlet	Grapefruit Gimlet	Speakeasy	Lime	1	oz
SE Grapefruit Gimlet	Grapefruit Gimlet	Speakeasy	Agave Nectar	.75	oz
SE Grapefruit Gimlet	Grapefruit Gimlet	Speakeasy	Ruby Red Grapefruit	1	quarter-wheel
SE Gin Rickey	Gin Rickey	Speakeasy	Plymouth Gin	1.75	oz
SE Gin Rickey	Gin Rickey	Speakeasy	Lime Cordial	.75	oz
SE Gin Rickey	Gin Rickey	Speakeasy	Club Soda	4	oz
SE Gin Rickey	Gin Rickey	Speakeasy	Lime	1	wheel
SE Gin On Gin Julep	Gin On Gin Julep	Speakeasy	Mint	15	leaves
SE Gin On Gin Julep	Gin On Gin Julep	Speakeasy	Mint Syrup	.5	oz
SE Gin On Gin Julep	Gin On Gin Julep	Speakeasy	Bols Genever	1	oz
SE Gin On Gin Julep	Gin On Gin Julep	Speakeasy	Plymouth Gin	1	oz
SE Gin On Gin Julep	Gin On Gin Julep	Speakeasy	Club Soda	1	splash
SE Mint Julep	Mint Julep	Speakeasy	Mint	15	leaves
SE Mint Julep	Mint Julep	Speakeasy	Mint Syrup	.5	oz
SE Mint Julep	Mint Julep	Speakeasy	Angostura Bitters	2	dash
SE Mint Julep	Mint Julep	Speakeasy	Club Soda	1	splash
SE Mint Julep	Mint Julep	Speakeasy	Maker’s Mark Bourbon Whiskey	2	oz
SE Havana-style Mojito	Havana-style Mojito	Speakeasy	Mint	15	leaves
SE Havana-style Mojito	Havana-style Mojito	Speakeasy	Mint Syrup	.5 	oz
SE Havana-style Mojito	Havana-style Mojito	Speakeasy	Superfine Sugar	1.5	tsp
SE Havana-style Mojito	Havana-style Mojito	Speakeasy	Lime	1.25	oz
SE Havana-style Mojito	Havana-style Mojito	Speakeasy	Flor de Caña Silver Dry Rum	1.75	oz
SE Havana-style Mojito	Havana-style Mojito	Speakeasy	Club Soda	1	oz
SE Havana-style Mojito	Havana-style Mojito	Speakeasy	Angostura Bitters	2	dash
SE Ginger Smash, Winter Season	Ginger Smash, Winter Season	Speakeasy	Ginger	2	slices
SE Ginger Smash, Winter Season	Ginger Smash, Winter Season	Speakeasy	Cranberry	10	berries
SE Ginger Smash, Winter Season	Ginger Smash, Winter Season	Speakeasy	Superfine Sugar	1.5	tsp
SE Ginger Smash, Winter Season	Ginger Smash, Winter Season	Speakeasy	Plymouth Gin	1.5	oz
SE Ginger Smash, Winter Season	Ginger Smash, Winter Season	Speakeasy	Berentzen Apfelkorn Apple Liqueur	1.5	oz
SE Ginger Smash, Winter Season	Ginger Smash, Winter Season	Speakeasy	Lemon	.75	oz
SE Ginger Smash, Spring Season	Ginger Smash, Spring Season	Speakeasy	Ginger	2	slices
SE Ginger Smash, Spring Season	Ginger Smash, Spring Season	Speakeasy	Kumquat	2	fruits
SE Ginger Smash, Spring Season	Ginger Smash, Spring Season	Speakeasy	Superfine Sugar	1	tsp
SE Ginger Smash, Spring Season	Ginger Smash, Spring Season	Speakeasy	Partida Blanco Tequila	1.5	oz
SE Ginger Smash, Spring Season	Ginger Smash, Spring Season	Speakeasy	Rhum Clément Créole Shrubb	1	oz
SE Ginger Smash, Spring Season	Ginger Smash, Spring Season	Speakeasy	Lime	.75	oz
SE Ginger Smash, Summer Season	Ginger Smash, Summer Season	Speakeasy	Ginger	2	slices
SE Ginger Smash, Summer Season	Ginger Smash, Summer Season	Speakeasy	Pineapple	2	cube
SE Ginger Smash, Summer Season	Ginger Smash, Summer Season	Speakeasy	Superfine Sugar	1	tsp
SE Ginger Smash, Summer Season	Ginger Smash, Summer Season	Speakeasy	10 Cane Rum	1.5	oz
SE Ginger Smash, Summer Season	Ginger Smash, Summer Season	Speakeasy	Lime	.5	oz
SE Ginger Smash, Summer Season	Ginger Smash, Summer Season	Speakeasy	Maraska Maraschino Liqueur	.5	oz
SE Ginger Smash, Summer Season	Ginger Smash, Summer Season	Speakeasy	Berentzen Apfelkorn Apple Liqueur	.5	oz
SE Ginger Smash, Summer Season	Ginger Smash, Summer Season	Speakeasy	Pineapple Leaf	1	leaf
SE Ginger Smash, Fall Season	Ginger Smash, Fall Season	Speakeasy	Ginger	2	slices
SE Ginger Smash, Fall Season	Ginger Smash, Fall Season	Speakeasy	Bartlett Pear	5	slices
SE Ginger Smash, Fall Season	Ginger Smash, Fall Season	Speakeasy	Superfine Sugar	1	tsp
SE Ginger Smash, Fall Season	Ginger Smash, Fall Season	Speakeasy	Plymouth Gin	1.5	oz
SE Ginger Smash, Fall Season	Ginger Smash, Fall Season	Speakeasy	Berentzen Apfelkorn Apple Liqueur	1.5	oz
SE Ginger Smash, Fall Season	Ginger Smash, Fall Season	Speakeasy	Lemon	.75	oz
SE Ginger Smash, Fall Season	Ginger Smash, Fall Season	Speakeasy	St. Elizabeth Allspice Dram Liqueur	1	dash
SE Whiskey Smash	Whiskey Smash	Speakeasy	Orange	2	half-wheel
SE Whiskey Smash	Whiskey Smash	Speakeasy	Mint	5	leaves
SE Whiskey Smash	Whiskey Smash	Speakeasy	Mint Syrup	.5	oz
SE Whiskey Smash	Whiskey Smash	Speakeasy	Michter’s US No. 1 Rye Whiskey	2	oz
SE Whiskey Smash	Whiskey Smash	Speakeasy	Seasonal Berries	some	unit
SE Grand Fashioned	Grand Fashioned	Speakeasy	Superfine Sugar	1	tsp
SE Grand Fashioned	Grand Fashioned	Speakeasy	Angostura Bitters	3	dash
SE Grand Fashioned	Grand Fashioned	Speakeasy	Blood Orange	3	wedges
SE Grand Fashioned	Grand Fashioned	Speakeasy	Grand Marnier Liqueur	2	oz
SE Grand Fashioned	Grand Fashioned	Speakeasy	Lime	.75	oz
SE Old Fashioned #1	Old Fashioned #1	Speakeasy	Sugar Cube	1	unit
SE Old Fashioned #1	Old Fashioned #1	Speakeasy	Angostura Bitters	2	dash
SE Old Fashioned #1	Old Fashioned #1	Speakeasy	Water	.25	oz
SE Old Fashioned #1	Old Fashioned #1	Speakeasy	American Whiskey	2	oz
SE Old Fashioned #1	Old Fashioned #1	Speakeasy	Lemon	1	twist
SE Old Fashioned #2	Old Fashioned #2	Speakeasy	Sugar Cube	1	unit
SE Old Fashioned #2	Old Fashioned #2	Speakeasy	Superfine Sugar	.5	tsp
SE Old Fashioned #2	Old Fashioned #2	Speakeasy	Angostura Bitters	3	dash
SE Old Fashioned #2	Old Fashioned #2	Speakeasy	Orange	2	half-wheel
SE Old Fashioned #2	Old Fashioned #2	Speakeasy	Brandied Cherry	4	unit
SE Old Fashioned #2	Old Fashioned #2	Speakeasy	Lemon	2	twist
SE Old Fashioned #2	Old Fashioned #2	Speakeasy	Club Soda	2	splash
SE Old Fashioned #2	Old Fashioned #2	Speakeasy	Rittenhouse Bonded Rye Whiskey	2.5	oz
SE Greenwich Sour	Greenwich Sour	Speakeasy	Wild Turkey 101-proof Rye Whiskey	1.75	oz
SE Greenwich Sour	Greenwich Sour	Speakeasy	Lemon	.75	oz
SE Greenwich Sour	Greenwich Sour	Speakeasy	Simple Syrup	.75	oz
SE Greenwich Sour	Greenwich Sour	Speakeasy	Egg	1	white
SE Greenwich Sour	Greenwich Sour	Speakeasy	Orange	1	half-wheel
SE Greenwich Sour	Greenwich Sour	Speakeasy	Brandied Cherry	1	unit
SE Greenwich Sour	Greenwich Sour	Speakeasy	Dry Red Wine	.75	oz
SE New York Sour	New York Sour	Speakeasy	Rittenhouse Bonded Rye Whiskey	1.75	oz
SE New York Sour	New York Sour	Speakeasy	Lemon	.75	oz
SE New York Sour	New York Sour	Speakeasy	Simple Syrup	.75	oz
SE New York Sour	New York Sour	Speakeasy	Dry Red Wine	.75	oz
SE New York Sour	New York Sour	Speakeasy	Orange	1	half-wheel
SE New York Sour	New York Sour	Speakeasy	Brandied Cherry	1	unit
SE Whiskey Sour	Whiskey Sour	Speakeasy	Rittenhouse Bonded Rye Whiskey	2	oz
SE Whiskey Sour	Whiskey Sour	Speakeasy	Lemon	1	oz
SE Whiskey Sour	Whiskey Sour	Speakeasy	Orange	.5	oz
SE Whiskey Sour	Whiskey Sour	Speakeasy	Simple Syrup	.75	oz
SE Whiskey Sour	Whiskey Sour	Speakeasy	Brandied Cherry	1	unit
SE New Yorker	New Yorker	Speakeasy	Wild Turkey 101-proof Rye Whiskey	1.75	oz
SE New Yorker	New Yorker	Speakeasy	Lemon	1	oz
SE New Yorker	New Yorker	Speakeasy	Simple Syrup	.75	oz
SE New Yorker	New Yorker	Speakeasy	Club Soda	3	oz
SE New Yorker	New Yorker	Speakeasy	Dry Red Wine	.75	oz
SE Hemingway Daiquiri	Hemingway Daiquiri	Speakeasy	10 Cane Rum	1.75	oz
SE Hemingway Daiquiri	Hemingway Daiquiri	Speakeasy	Luxardo Maraschino Liqueur	.75	oz
SE Hemingway Daiquiri	Hemingway Daiquiri	Speakeasy	Lime	1	oz
SE Hemingway Daiquiri	Hemingway Daiquiri	Speakeasy	Grapefruit	.75	oz
SE Hemingway Daiquiri	Hemingway Daiquiri	Speakeasy	Simple Syrup	.25	oz
SE Hemingway Daiquiri	Hemingway Daiquiri	Speakeasy	Brandied Cherry	1	unit
SE Classic Daiquiri	Classic Daiquiri	Speakeasy	Flor de Caña Silver Dry Rum	2.5	oz
SE Classic Daiquiri	Classic Daiquiri	Speakeasy	Lime	1	oz
SE Classic Daiquiri	Classic Daiquiri	Speakeasy	Simple Syrup	.75	oz
SE Jersey Devil	Jersey Devil	Speakeasy	English Bishop Port Infusion	1.75	oz
SE Jersey Devil	Jersey Devil	Speakeasy	Laird’s Bonded Apple Brandy	1.5	oz
SE Jersey Devil	Jersey Devil	Speakeasy	Berentzen Apfelkorn Apple Liqueur	.5	oz
SE Jersey Devil	Jersey Devil	Speakeasy	Peychaud’s Bitters	3	dash
SE Jersey Devil	Jersey Devil	Speakeasy	Orange	1	half-wheel
SE Jack Rose	Jack Rose	Speakeasy	Laird’s Bonded Apple Brandy	1.5	oz
SE Jack Rose	Jack Rose	Speakeasy	Lemon	.75	oz
SE Jack Rose	Jack Rose	Speakeasy	Simple Syrup	.5	oz
SE Jack Rose	Jack Rose	Speakeasy	Grenadine	.25	oz
SE Mai Tai	Mai Tai	Speakeasy	Flor de Caña 12-Year-old Rum	1.5	oz
SE Mai Tai	Mai Tai	Speakeasy	Marie Brizard Orange Curaçao Liqueur	.75	oz
SE Mai Tai	Mai Tai	Speakeasy	Orgeat	.75	oz
SE Mai Tai	Mai Tai	Speakeasy	Lime	1	oz
SE Mai Tai	Mai Tai	Speakeasy	Mint	1	sprig
SE Mata Hari	Mata Hari	Speakeasy	Louis Royer Force 53 VSOP Cognac	1.25	oz
SE Mata Hari	Mata Hari	Speakeasy	Chai-Infused Cinzano Sweet Vermouth	1	oz
SE Mata Hari	Mata Hari	Speakeasy	Lemon	.75	oz
SE Mata Hari	Mata Hari	Speakeasy	Pomegranate Juice	.75	oz
SE Mata Hari	Mata Hari	Speakeasy	Simple Syrup	.5	oz
SE Mata Hari	Mata Hari	Speakeasy	Dried Rose Buds	3	unit
SE Calvados Sidecar	Calvados Sidecar	Speakeasy	Lemon	1	wedge
SE Calvados Sidecar	Calvados Sidecar	Speakeasy	Cinnamon Sugar Rim	1	unit
SE Calvados Sidecar	Calvados Sidecar	Speakeasy	Daron Fine Calvados Brandy	1	oz
SE Calvados Sidecar	Calvados Sidecar	Speakeasy	Lemon	1	oz
