D&C 20th Century	20th Century	Death & Co	Beefeater London Dry Gin  1.5	oz
D&C Corpse Reviver #2	Corpse Reviver #2	Death & Co	Beefeater London Dry Gin  .75	oz
D&C Corpse Reviver #2	Corpse Reviver #2	Death & Co	Cointreau Liqueur	.75	oz
D&C Corpse Reviver #2	Corpse Reviver #2	Death & Co	Lillet Blanc Aperitif Wine	.75	oz
D&C Corpse Reviver #2	Corpse Reviver #2	Death & Co	Vieux Pontarlier Absinthe	2	dash
D&C Corpse Reviver #2	Corpse Reviver #2	Death & Co	Lemon	.75	oz
D&C Daiquiri	Daiquiri	Death & Co	Flor de Caña Silver Dry Rum	2	oz
D&C Daiquiri	Daiquiri	Death & Co	Lime	1	oz
D&C Daiquiri	Daiquiri	Death & Co	Simple Syrup	.5	oz
D&C Daiquiri	Daiquiri	Death & Co	Lime	1	wedge
D&C Dark And Stormy	Dark And Stormy	Death & Co	Gosling’s Black Seal Rum  2	oz
D&C Dark And Stormy	Dark And Stormy	Death & Co	Lime	.75	oz
D&C Dark And Stormy	Dark And Stormy	Death & Co	Ginger Syrup	1	oz
D&C Dark And Stormy	Dark And Stormy	Death & Co	Club Soda	1	top
D&C Dark And Stormy	Dark And Stormy	Death & Co	Candied Ginger	1	piece
D&C Dark And Stormy	Dark And Stormy	Death & Co	Lime	1	wheel
D&C Diamondback	Diamondback	Death & Co	Rittenhouse Bonded Rye Whiskey  2	oz
D&C Diamondback	Diamondback	Death & Co	Laird’s Bonded Apple Brandy	.5	oz
D&C Diamondback	Diamondback	Death & Co	Yellow Chartreuse Liqueur	.5	oz
D&C Fancy-free	Fancy-free	Death & Co	Rittenhouse Bonded Rye Whiskey	2	oz
D&C Fancy-free	Fancy-free	Death & Co	Luxardo Maraschino Liqueur	.5	oz
D&C Fancy-free	Fancy-free	Death & Co	Angostura Bitters	1	dash
D&C Fancy-free	Fancy-free	Death & Co	House Orange Bitters	1	dash
D&C Fancy-free	Fancy-free	Death & Co	Orange	1	twist
D&C Fitzgerald	Fitzgerald	Death & Co	Beefeater London Dry Gin	2	oz
D&C Fitzgerald	Fitzgerald	Death & Co	Lemon	.75	oz
D&C Fitzgerald	Fitzgerald	Death & Co	Simple Syrup	1	oz
D&C Fitzgerald	Fitzgerald	Death & Co	Angostura Bitters	2	dash
D&C Fitzgerald	Fitzgerald	Death & Co	Lemon	1	wedge
D&C Flamenco	Flamenco	Death & Co	Lustau Amontillado Sherry 1.5	oz
D&C Flamenco	Flamenco	Death & Co	Bols Genever	1	oz
D&C Flamenco	Flamenco	Death & Co	Orange	.5	oz
D&C Flamenco	Flamenco	Death & Co	Lemon	.5	oz
D&C Flamenco	Flamenco	Death & Co	Orgeat	.75	oz
D&C Flamenco	Flamenco	Death & Co	Angostura Bitters	2	dash
D&C French 75	French 75	Death & Co	Plymouth Gin	1.5	oz
D&C French 75	French 75	Death & Co	Lemon	.75	oz
D&C French 75	French 75	Death & Co	Simple Syrup	.5	oz
D&C French 75	French 75	Death & Co	Brut Champagne	1	top
D&C French 75	French 75	Death & Co	Lemon	1	twist
D&C French 95	French 95	Death & Co	Buffalo Trace Bourbon Whiskey 2	oz
D&C French 95	French 95	Death & Co	Lemon	.75	oz
D&C French 95	French 95	Death & Co	Simple Syrup	.5	oz
D&C French 95	French 95	Death & Co	Brut Champagne	1	top
D&C Gimlet	Gimlet	Death & Co	Perry’s Tot Navy-strength Gin	2	oz
D&C Gimlet	Gimlet	Death & Co	Toby’s Lime Cordial	1.5	oz
D&C Gimlet	Gimlet	Death & Co	Lime	1	wedge
D&C Gin Fizz	Gin Fizz	Death & Co	Beefeater London Dry Gin	2	oz
D&C Gin Fizz	Gin Fizz	Death & Co	Lemon	.75	oz
D&C Gin Fizz	Gin Fizz	Death & Co	Simple Syrup	.75	oz
D&C Gin Fizz	Gin Fizz	Death & Co	Egg	1	white
D&C Gin Fizz	Gin Fizz	Death & Co	Club Soda	1	top
D&C Gin Rickey	Gin Rickey	Death & Co	Beefeater London Dry Gin	2	oz
D&C Gin Rickey	Gin Rickey	Death & Co	Lime	1	oz
D&C Gin Rickey	Gin Rickey	Death & Co	Simple Syrup	.5	oz
D&C Gin Rickey	Gin Rickey	Death & Co	Club Soda	1	top
D&C Gin Rickey	Gin Rickey	Death & Co	Lime	1	wedge
D&C Grasshopper	Grasshopper	Death & Co	Mint  8	leaves
D&C Grasshopper	Grasshopper	Death & Co	Marie Brizard White Crème de Menthe Liqueur	1	oz
D&C Grasshopper	Grasshopper	Death & Co	Marie Brizard White Crème de Cacao Liqueur	1	oz
D&C Grasshopper	Grasshopper	Death & Co	Heavy Cream	1	oz
D&C Hanky-panky	Hanky-panky	Death & Co	Fords Gin	2	oz
D&C Hanky-panky	Hanky-panky	Death & Co	Contratto Americano Rosso Vermouth	.5	oz
D&C Hanky-panky	Hanky-panky	Death & Co	Carpano Antica Formula Sweet Vermouth	.5	oz
D&C Hanky-panky	Hanky-panky	Death & Co	Fernet-Branca Liqueur	.25	oz
D&C Hanky-panky	Hanky-panky	Death & Co	Lemon	1	twist
D&C Honeysuckle	Honeysuckle	Death & Co	Flor de Caña Silver Dry Rum	2	oz
D&C Honeysuckle	Honeysuckle	Death & Co	Lime	.75	oz
D&C Honeysuckle	Honeysuckle	Death & Co	Acacia Honey Syrup	.75	oz
D&C Honeysuckle	Honeysuckle	Death & Co	Lime	1	wedge
D&C Jack Rose	Jack Rose	Death & Co	Laird’s Bonded Apple Brandy 1	oz
D&C Jack Rose	Jack Rose	Death & Co	Calvados Brandy	1	oz
D&C Jack Rose	Jack Rose	Death & Co	Lemon	.5	oz
D&C Jack Rose	Jack Rose	Death & Co	Lime	.5	oz
D&C Jack Rose	Jack Rose	Death & Co	Grenadine	.75	oz
D&C Jack Rose	Jack Rose	Death & Co	Apple	1	fan
D&C La Rosita	La Rosita	Death & Co	El Tesoro Reposado Tequila	2	oz
D&C La Rosita	La Rosita	Death & Co	Campari Liqueur	.5	oz
D&C La Rosita	La Rosita	Death & Co	Cocchi Vermouth di Torino	.5	oz
D&C La Rosita	La Rosita	Death & Co	Dolin Dry Vermouth	.5	oz
D&C La Rosita	La Rosita	Death & Co	Angostura Bitters	1	dash
D&C La Rosita	La Rosita	Death & Co	Orange	1	twist
D&C Last Word	Last Word	Death & Co	Beefeater London Dry Gin	.75	oz
D&C Last Word	Last Word	Death & Co	Green Chartreuse Liqueur	.75	oz
D&C Last Word	Last Word	Death & Co	Luxardo Maraschino Liqueur	.75	oz
D&C Last Word	Last Word	Death & Co	Lime	.75	oz
D&C Lucien Gaudin	Lucien Gaudin	Death & Co	Tanqueray No. 10 Gin	1.5	oz
D&C Lucien Gaudin	Lucien Gaudin	Death & Co	Dolin Dry Vermouth	.5	oz
D&C Lucien Gaudin	Lucien Gaudin	Death & Co	Campari Liqueur	.5	oz
D&C Lucien Gaudin	Lucien Gaudin	Death & Co	Cointreau Liqueur	.5	oz
D&C Lucien Gaudin	Lucien Gaudin	Death & Co	Lemon	1	twist
D&C Mai Tai	Mai Tai	Death & Co	Lime	1	wedge
D&C Mai Tai	Mai Tai	Death & Co	Lime	1	ounce
